language_code,text_reviews_count,average_rating,description,authors,publication_year,book_id,ratings_count,work_id,title,title_without_series,isbn,isbn13,image_url
eng,1,3.83,,"[{'author_id': '25265', 'role': ''}]",2006.0,2160227,6,885549,Silly Sausage in Trouble (Read-It! Chapter Books),Silly Sausage in Trouble (Read-It! Chapter Books),1404827374,9781404827370,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,22,3.99,"On a bright autumn day, as long ago as the year 943, there was a great bustle in the Castle of Bayeux in Normandy. The hall was large and low, the roof arched, and supported on thick short columns, almost like the crypt of a Cathedral; the walls were thick, and the windows, which had no glass, were very small, set in such a depth of wall that there was a wide deep window seat, upon which the rain might beat, without reaching the interior of the room. And even if it had come in, there was nothing for it to hurt, for the walls were of rough stone, and the floor of tiles. There was a fire at each end of this great dark apartment, but there were no chimneys over the ample hearths, and the smoke curled about in thick white folds in the vaulted roof, adding to the wreaths of soot, which made the hall look still darker.","[{'author_id': '176982', 'role': ''}]",2006.0,1017394,196,1003518,The Little Duke,The Little Duke,1406955302,9781406955309,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-US,18,3.47,"Have you heard? New York is the new North Pole! 
Just ask Auntie Claus! Sophie Kringle had always dreamed of being the Sugar Plum Fairy in the school play. After all, Sophie is a Kringle. Her family lives at the Bing Cherry Hotel, and her favorite aunt, Auntie Claus, serves Christmas cookies at teatime even in July. When Auntie Claus hears that Sophie will make her debut in the school play, she decides to have her cake and eat it too this year Auntie Claus will be home for the holidays and the North Pole will move south to New York! Finally getting to see the tree at Rockefeller Center, the department store windows, and the 57th Street Snowflake with Auntie Claus Sophie will have a Christmas that she never could have imagined! 
Join Sophie on an adventure that goes straight to the heart of Christmas! Bring along your favorite Christmas cookie recipe, your warmest coat, and your tutu!","[{'author_id': '168353', 'role': ''}]",2009.0,6690139,107,6885539,"Auntie Claus, Home for the Holidays","Auntie Claus, Home for the Holidays",1416954856,9781416954859,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,20,4.24,"Posey and her best friends, Nikki and Ava, do everything together. Then, new girl Grace joins Miss Lee's first grade class, and Posey worries that everything will change. Nikki and Ava can't stop talking about Grace's long princess hair, and when she joins the girls' recess games, they like her way of doing things better than Posey's. But when Grace accidentally teases Posey, she's had enough: she doesn't want to play with Grace ever again! Can Posey's princess tutu help her find a way to get along with the new student?","[{'author_id': '51599', 'role': ''}, {'author_id': '3395299', 'role': 'Illustrations'}]",2013.0,16101013,125,21911314,"Princess Posey and the New First Grader (Princess Posey, #6)","Princess Posey and the New First Grader (Princess Posey, #6)",0399257128,9780399257124,https://images.gr-assets.com/books/1366558036m/16101013.jpg
eng,336,4.27,"My Father's Dragon, Elmer And The Dragon, The Dragons Of Blueland
Also includes an introduction by the author.","[{'author_id': '16215', 'role': ''}, {'author_id': '6422577', 'role': 'Illustrator'}]",1998.0,28875,2724,29358,Three Tales Of My Father's Dragon,Three Tales Of My Father's Dragon,0679889116,9780679889113,https://images.gr-assets.com/books/1350481640m/28875.jpg
eng,4,4.12,"What do cars, stars, skyscrapers, and ice cream all have in common? They're all made from the same 92 ingredients...and so are we. And so is everything in the entire universe! How to Make a Universe with 92 Ingredientspresents a unique and imaginative way for young readers to connect chemistry and science with their daily lives. By using dozens of familiar objects (trees, cell phones, the Sun), author Adrian Dingle has built a platform from which to teach kids the unfamiliar -- that trees, cell phones, and the Sun are all made of a handful of chemical elements found on the periodic table. Full of easy experiments and ""Did You Know?"" information that's perfect for sharing with friends, How to Make a Universe with 92 Ingredientstakes on the impossible and triumphs -- it makes chemistry FUN!","[{'author_id': '160584', 'role': ''}]",2013.0,17465722,27,24362471,How to Make a Universe with 92 Ingredients: An Electrifying Guide to the Elements,How to Make a Universe with 92 Ingredients: An Electrifying Guide to the Elements,1771470089,9781771470087,https://images.gr-assets.com/books/1362958294m/17465722.jpg
eng,9,4.06,"Owly is a kind, yet lonely, little owl who's always on the lookout for new friends and adventure. The first graphic novel in the series contains two enchanting novellas, ""The Way Home"" & ""The Bittersweet Summer,"" wherein Owly discovers the meaning of friendship, and that saying goodbye doesn't always mean forever.","[{'author_id': '114752', 'role': ''}]",,8167132,56,190470,"Owly, Volume 1:  The Way Home & The Bittersweet Summer (Owly, #1)","Owly, Volume 1:  The Way Home & The Bittersweet Summer (Owly, #1)",,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,4,3.44,"Merry dreams of being a ballerina and dancing on a stage in a beautiful tutu... but there are no ballet schools where she lives, and everyone thinks she is too fat to be a ballerina. When a dance teacher finally arrives in town, Merry seizes her chance.","[{'author_id': '576751', 'role': ''}, {'author_id': '212823', 'role': 'Illustrator'}]",,1859686,20,1860341,The Too Tight Tutu,The Too Tight Tutu,0140384456,9780140384451,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
eng,7,4.03,"Skitty is a very special dog - she's magnetic. But instead of attracting metal, she attracts food. All kinds of food, even peas! Ages 3+
Skitty is a very special dog - she's magnetic. But instead of attracting metal, she attracts food. All kinds of food, even peas! *Shortlisted, Young Adults Best Book Awards (YABBA) (VIC), 1994 and 1995 Ages 3+","[{'author_id': '130649', 'role': ''}, {'author_id': '275399', 'role': ''}]",1995.0,4000471,36,4046696,That Magnetic Dog,That Magnetic Dog,0207184208,9780207184208,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
en-GB,19,3.76,"Waterfall City is in grave danger when the Polongo River mysteriously dries up. Magnolia and her dinosaur friend Paddlefoot, along with Birch and a triceratops called Rogo, battle the elements in their desperate quest to save Dinotopia's most beautiful city.","[{'author_id': '56125', 'role': ''}]",1995.0,144029,418,138951,"River Quest (Dinotopia, #2)","River Quest (Dinotopia, #2)",0679869824,9780679869825,https://images.gr-assets.com/books/1348165199m/144029.jpg
eng,7,3.62,A skill-building reader featuring the satirical Star Wars Angry Birds characters depicts the evil Lard Vader and his Empire pigs as they try to take control of the galaxy by fighting noble Angry Bird heroes.,"[{'author_id': '7045766', 'role': ''}]",2013.0,18103712,48,25421395,Lard Vader's Villains,Lard Vader's Villains,146540189X,9781465401892,https://images.gr-assets.com/books/1371643435m/18103712.jpg
en-US,119,4.23,"Everybody thinks Tara Doucet has the perfect life. But in reality, Tara's life is anything but perfect: Her dear Grammy Claire has just passed away, her mother is depressed and distant, and she and her sister Riley can't seem to agree on anything. But when mysterious and dazzling butterflies begin to follow her around after Grammy Claire's funeral, Tara just knows in her heart that her grandmother has left her one final mystery to solve.
A strange butler brings Tara and Riley to Grammy Claire's house, where Tara finds a stack of keys and detailed letters from Grammy Claire herself. Note by note, Tara learns unexpected truths about her grandmother's life. As the letters grow more ominous and the clues more difficult to decipher, Tara realizes that the secrets she must uncover could lead to mortal danger. And when Tara and Riley are swept away to the beautiful islands of Chuuk to hear their grandmother's will, Tara discovers the most shocking truth of all -- one that will change her life forever.
From Kimberley Griffiths Little comes a magical, breathtaking mystery full of loss and love, family and faith.","[{'author_id': '484627', 'role': ''}]",2013.0,15843286,702,21585576,When the Butterflies Came,When the Butterflies Came,0545425131,9780545425131,https://images.gr-assets.com/books/1346774434m/15843286.jpg
eng,125,4.04,"Abandoned at birth in the perilous Deepwoods, Twig Verginix is brought up by a family of woodtrolls. One cold night, Twig does what no woodtroll has ever done before - he strays from the path.
So begins a heart-stopping adventure that will take Twig through a nightmare world of fearsome goblins, bloodthirsty beasts and flesh-eating trees. Can he discover the truth about his past?
Beyond the Deepwoods is the first book of the Twig Saga - second trilogy in The Edge Chronicles. Each book is a stand-alone adventure, so you can read The Edge Chronicles in any order you choose.","[{'author_id': '24830', 'role': ''}, {'author_id': '59749', 'role': 'Illustrator'}]",,607437,716,593955,Beyond the Deepwoods (The Edge Chronicles: The Twig Saga #1; The Edge Chronicles #4),Beyond the Deepwoods (The Edge Chronicles: The Twig Saga #1; The Edge Chronicles #4),0385750684,9780385750684,https://images.gr-assets.com/books/1350148593m/607437.jpg
eng,1,3.83,"Dear Listener,
If you have chosen to listen to this audio for pleasure, I advise you to put it down instantaneously, because of all the audios describing the unhappy lives of the Baudelaire orphans, ""The Miserable Mill"" might be the unhappiest.
This recording contains such unpleasantries as a giant pincher machine, a bad casserole, a man with a cloud of smoke where his head should be, and coupons. If you prefer stories that are more heartwarming, please feel free to make another selection.
I also shouldn't mention the interactive features of the CD, which include: A perplexing word game Photos from The Lemony Snicket Archives Art from The Brett Helquist gallery
I have promised to record the entire history of these poor children, but you haven't, so please feel free to make another selection.
With all due respect,
Lemony Snicket","[{'author_id': '36746', 'role': ''}]",2004.0,9925305,3,1209957,The Miserable Mill: Book the Fourth (A Series of Unfortunate Events),The Miserable Mill: Book the Fourth (A Series of Unfortunate Events),0060814489,9780060814489,https://images.gr-assets.com/books/1355131868m/9925305.jpg
en-GB,7,4.17,"- Six Cousins at Mistletoe Farm
- Six Cousins Again","[{'author_id': '10657', 'role': ''}]",2006.0,1197592,118,1185702,Adventures of The Six Cousins,Adventures of The Six Cousins,1841354929,9781841354927,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
